Name:   Silvia Asmat
Course:   COSC 4301 - Modern Programming
Program:  Four
Due Date: 10/28/2024

Yearly Average Price
Year       Avg Price 
1993       $1.071     
1994       $1.078     
1995       $1.158     
1996       $1.245     
1997       $1.244     
1998       $1.072     
1999       $1.176     
2000       $1.523     
2001       $1.460     
2002       $1.386     
2003       $1.603     
2004       $1.895     
2005       $2.314     
2006       $2.618     
2007       $2.843     
2008       $3.299     
2009       $2.406     
2010       $2.835     
2011       $3.576     
2012       $3.680     
2013       $3.651     
Monthly Average Price
Month      Year       Avg Price 
4          1993       $1.078     
5          1993       $1.100     
6          1993       $1.097     
7          1993       $1.078     
8          1993       $1.062     
9          1993       $1.049     
10         1993       $1.092     
11         1993       $1.066     
12         1993       $1.014     
1          1994       $0.998     
2          1994       $1.009     
3          1994       $1.008     
4          1994       $1.027     
5          1994       $1.047     
6          1994       $1.078     
7          1994       $1.106     
8          1994       $1.155     
9          1994       $1.144     
10         1994       $1.114     
11         1994       $1.119     
12         1994       $1.129     
1          1995       $1.130     
2          1995       $1.120     
3          1995       $1.119     
4          1995       $1.157     
5          1995       $1.225     
6          1995       $1.239     
7          1995       $1.201     
8          1995       $1.170     
9          1995       $1.158     
10         1995       $1.134     
11         1995       $1.109     
12         1995       $1.118     
1          1996       $1.137     
2          1996       $1.136     
3          1996       $1.183     
4          1996       $1.275     
5          1996       $1.324     
6          1996       $1.303     
7          1996       $1.273     
8          1996       $1.251     
9          1996       $1.247     
10         1996       $1.249     
11         1996       $1.278     
12         1996       $1.282     
1          1997       $1.283     
2          1997       $1.276     
3          1997       $1.251     
4          1997       $1.244     
5          1997       $1.245     
6          1997       $1.242     
7          1997       $1.220     
8          1997       $1.268     
9          1997       $1.276     
10         1997       $1.242     
11         1997       $1.216     
12         1997       $1.177     
1          1998       $1.132     
2          1998       $1.096     
3          1998       $1.064     
4          1998       $1.077     
5          1998       $1.105     
6          1998       $1.103     
7          1998       $1.094     
8          1998       $1.065     
9          1998       $1.049     
10         1998       $1.059     
11         1998       $1.036     
12         1998       $0.987     
1          1999       $0.980     
2          1999       $0.962     
3          1999       $1.022     
4          1999       $1.171     
5          1999       $1.171     
6          1999       $1.154     
7          1999       $1.197     
8          1999       $1.260     
9          1999       $1.295     
10         1999       $1.285     
11         1999       $1.292     
12         1999       $1.313     
1          2000       $1.329     
2          2000       $1.415     
3          2000       $1.556     
4          2000       $1.506     
5          2000       $1.526     
6          2000       $1.666     
7          2000       $1.591     
8          2000       $1.505     
9          2000       $1.588     
10         2000       $1.571     
11         2000       $1.556     
12         2000       $1.483     
1          2001       $1.487     
2          2001       $1.490     
3          2001       $1.450     
4          2001       $1.591     
5          2001       $1.738     
6          2001       $1.658     
7          2001       $1.466     
8          2001       $1.461     
9          2001       $1.557     
10         2001       $1.357     
11         2001       $1.212     
12         2001       $1.127     
1          2002       $1.148     
2          2002       $1.155     
3          2002       $1.289     
4          2002       $1.439     
5          2002       $1.434     
6          2002       $1.424     
7          2002       $1.438     
8          2002       $1.438     
9          2002       $1.441     
10         2002       $1.486     
11         2002       $1.461     
12         2002       $1.429     
1          2003       $1.500     
2          2003       $1.654     
3          2003       $1.734     
4          2003       $1.633     
5          2003       $1.539     
6          2003       $1.533     
7          2003       $1.554     
8          2003       $1.661     
9          2003       $1.721     
10         2003       $1.606     
11         2003       $1.555     
12         2003       $1.522     
1          2004       $1.614     
2          2004       $1.690     
3          2004       $1.778     
4          2004       $1.839     
5          2004       $2.023     
6          2004       $2.013     
7          2004       $1.954     
8          2004       $1.920     
9          2004       $1.912     
10         2004       $2.042     
11         2004       $2.023     
12         2004       $1.887     
1          2005       $1.875     
2          2005       $1.953     
3          2005       $2.120     
4          2005       $2.285     
5          2005       $2.205     
6          2005       $2.198     
7          2005       $2.333     
8          2005       $2.529     
9          2005       $2.951     
10         2005       $2.765     
11         2005       $2.303     
12         2005       $2.229     
1          2006       $2.360     
2          2006       $2.326     
3          2006       $2.468     
4          2006       $2.787     
5          2006       $2.953     
6          2006       $2.930     
7          2006       $3.025     
8          2006       $2.999     
9          2006       $2.606     
10         2006       $2.293     
11         2006       $2.275     
12         2006       $2.359     
1          2007       $2.289     
2          2007       $2.323     
3          2007       $2.609     
4          2007       $2.891     
5          2007       $3.187     
6          2007       $3.102     
7          2007       $3.011     
8          2007       $2.834     
9          2007       $2.849     
10         2007       $2.853     
11         2007       $3.128     
12         2007       $3.070     
1          2008       $3.095     
2          2008       $3.078     
3          2008       $3.293     
4          2008       $3.507     
5          2008       $3.815     
6          2008       $4.105     
7          2008       $4.114     
8          2008       $3.833     
9          2008       $3.756     
10         2008       $3.112     
11         2008       $2.208     
12         2008       $1.745     
1          2009       $1.840     
2          2009       $1.975     
3          2009       $2.011     
4          2009       $2.102     
5          2009       $2.316     
6          2009       $2.681     
7          2009       $2.582     
8          2009       $2.670     
9          2009       $2.609     
10         2009       $2.605     
11         2009       $2.706     
12         2009       $2.663     
1          2010       $2.769     
2          2010       $2.699     
3          2010       $2.824     
4          2010       $2.899     
5          2010       $2.890     
6          2010       $2.785     
7          2010       $2.782     
8          2010       $2.783     
9          2010       $2.757     
10         2010       $2.853     
11         2010       $2.913     
12         2010       $3.048     
1          2011       $3.148     
2          2011       $3.264     
3          2011       $3.615     
4          2011       $3.852     
5          2011       $3.960     
6          2011       $3.735     
7          2011       $3.705     
8          2011       $3.696     
9          2011       $3.667     
10         2011       $3.506     
11         2011       $3.443     
12         2011       $3.326     
1          2012       $3.440     
2          2012       $3.640     
3          2012       $3.907     
4          2012       $3.958     
5          2012       $3.791     
6          2012       $3.596     
7          2012       $3.498     
8          2012       $3.780     
9          2012       $3.910     
10         2012       $3.812     
11         2012       $3.521     
12         2012       $3.381     
1          2013       $3.391     
2          2013       $3.736     
3          2013       $3.779     
4          2013       $3.638     
5          2013       $3.675     
6          2013       $3.689     
7          2013       $3.661     
8          2013       $3.645     
Highest and Lowest Prices Per Year
Year       Lowest Date     Lowest Price    Highest Date    Highest Price  
1993       12-27           $0.999          5-31            $1.107         
1994       1-3             $0.992          8-22            $1.165         
1995       11-20           $1.106          5-29            $1.246         
1996       2-12            $1.126          5-20            $1.330         
1997       12-29           $1.158          9-8             $1.288         
1998       12-28           $0.979          1-5             $1.148         
1999       2-22            $0.949          12-13           $1.315         
2000       1-10            $1.304          6-19            $1.711         
2001       12-17           $1.101          5-14            $1.748         
2002       1-28            $1.142          10-21           $1.499         
2003       1-6             $1.487          8-25            $1.787         
2004       1-5             $1.552          5-24            $2.104         
2005       1-3             $1.824          9-5             $3.117         
2006       11-6            $2.246          8-7             $3.083         
2007       1-29            $2.213          5-21            $3.258         
2008       12-29           $1.670          7-7             $4.165         
2009       1-5             $1.737          11-2            $2.746         
2010       2-15            $2.664          12-27           $3.106         
2011       1-3             $3.124          5-9             $4.018         
2012       12-17           $3.324          4-9             $3.997         
2013       1-7             $3.373          2-25            $3.851    
